actual_id,plan_id,production_date,line_id,model_id,shift,actual_quantity,working_hours,downtime_minutes,achievement_rate
A000001,P000001,2026-01-01,L001,M002,白班,77,8,15,0.9059
A000002,P000002,2026-01-01,L001,M002,夜班,73,8,14,0.9733
A000003,P000003,2026-01-01,L002,M004,白班,79,8,13,0.9753
A000004,P000004,2026-01-01,L002,M004,夜班,75,8,12,0.9615
A000005,P000005,2026-01-01,L003,M004,白班,65,8,8,0.9848
A000006,P000006,2026-01-01,L003,M004,夜班,57,8,54,0.8769
A000007,P000007,2026-01-01,L004,M002,白班,58,8,10,1.0
A000008,P000008,2026-01-01,L004,M001,夜班,57,8,28,1.0179
A000009,P000009,2026-01-01,L005,M006,白班,45,8,18,0.9375
A000010,P000010,2026-01-01,L005,M006,夜班,57,8,31,1.0
A000011,P000011,2026-01-01,L006,M006,白班,50,8,22,1.0
A000012,P000012,2026-01-01,L006,M005,夜班,45,8,17,0.9574
A000013,P000013,2026-01-01,L007,M008,白班,49,8,31,1.0208
A000014,P000014,2026-01-01,L007,M008,夜班,46,8,19,0.92
A000015,P000015,2026-01-01,L008,M006,白班,71,8,32,0.9342
A000016,P000016,2026-01-01,L008,M006,夜班,77,8,21,0.939
A000017,P000017,2026-01-02,L001,M002,白班,84,8,32,0.9767
A000018,P000018,2026-01-02,L001,M001,夜班,86,8,41,0.9247
A000019,P000019,2026-01-02,L002,M004,白班,82,8,36,1.025
A000020,P000020,2026-01-02,L002,M004,夜班,82,8,13,1.025
A000021,P000021,2026-01-02,L003,M004,白班,60,8,21,0.9836
A000022,P000022,2026-01-02,L003,M003,夜班,62,8,56,0.8611
A000023,P000023,2026-01-02,L004,M002,白班,66,8,17,0.9565
A000024,P000024,2026-01-02,L004,M002,夜班,67,8,26,1.0
A000025,P000025,2026-01-02,L005,M005,白班,54,8,21,0.9818
A000026,P000026,2026-01-02,L005,M006,夜班,48,8,22,0.96
A000027,P000027,2026-01-02,L006,M005,白班,56,8,21,0.9825
A000028,P000028,2026-01-02,L006,M005,夜班,46,8,18,0.9787
A000029,P000029,2026-01-02,L007,M007,白班,43,8,8,1.0
A000030,P000030,2026-01-02,L007,M008,夜班,53,8,15,1.0192
A000031,P000031,2026-01-02,L008,M003,白班,75,8,12,1.0
A000032,P000032,2026-01-02,L008,M008,夜班,62,8,15,0.9254
A000033,P000033,2026-01-03,L001,M002,白班,68,8,20,0.9315
A000034,P000034,2026-01-03,L001,M002,夜班,77,8,31,0.9506
A000035,P000035,2026-01-03,L002,M004,白班,72,8,9,1.0286
A000036,P000036,2026-01-03,L002,M004,夜班,56,8,26,0.918
A000037,P000037,2026-01-03,L003,M004,白班,55,8,19,0.9483
A000038,P000038,2026-01-03,L003,M004,夜班,58,8,72,0.8788
A000039,P000039,2026-01-03,L004,M002,白班,49,8,10,0.9245
A000040,P000040,2026-01-03,L004,M001,夜班,54,8,29,0.9818
A000041,P000041,2026-01-03,L005,M006,白班,49,8,6,0.9245
A000042,P000042,2026-01-03,L005,M006,夜班,52,8,17,0.963
A000043,P000043,2026-01-03,L006,M005,白班,43,8,18,0.9556
A000044,P000044,2026-01-03,L006,M006,夜班,46,8,20,0.9388
A000045,P000045,2026-01-03,L007,M007,白班,42,8,22,0.9333
A000046,P000046,2026-01-03,L007,M007,夜班,37,8,40,0.9487
A000047,P000047,2026-01-03,L008,M005,白班,61,8,22,0.9242
