defect_id,defect_date,line_id,model_id,process,defect_type,defect_count,severity,rework_status
D000001,2026-01-01,L001,M002,总装,内饰装配偏差,4,低,已返修
D000002,2026-01-01,L001,M002,总装,线束松动,3,低,已返修
D000003,2026-01-01,L002,M004,焊装,焊缝气孔,3,低,已返修
D000004,2026-01-01,L002,M004,焊装,零件错位,4,中,已返修
D000005,2026-01-01,L003,M004,总装,线束松动,3,高,返修中
D000006,2026-01-01,L003,M004,总装,线束松动,2,中,返修中
D000007,2026-01-01,L004,M002,涂装,颗粒点,3,低,已返修
D000008,2026-01-01,L004,M001,涂装,色差,3,高,已返修
D000009,2026-01-01,L005,M006,总装,内饰装配偏差,2,中,已返修
D000010,2026-01-01,L005,M006,总装,线束松动,2,低,返修中
D000011,2026-01-01,L006,M006,焊装,零件错位,1,中,已返修
D000012,2026-01-01,L006,M005,焊装,零件错位,2,高,已返修
D000013,2026-01-01,L007,M008,总装,螺栓扭矩不足,1,低,已返修
D000014,2026-01-01,L007,M008,总装,螺栓扭矩不足,1,中,返修中
D000015,2026-01-01,L008,M006,检测,电控报警,4,低,已返修
D000016,2026-01-01,L008,M006,检测,制动检测异常,3,低,已返修
D000017,2026-01-02,L001,M002,总装,线束松动,1,中,已返修
D000018,2026-01-02,L001,M001,总装,内饰装配偏差,2,低,已返修
D000019,2026-01-02,L002,M004,焊装,零件错位,2,高,已返修
D000020,2026-01-02,L002,M004,焊装,焊缝气孔,2,低,已返修
D000021,2026-01-02,L003,M004,总装,螺栓扭矩不足,1,中,待确认
D000022,2026-01-02,L003,M003,总装,内饰装配偏差,2,低,已返修
D000023,2026-01-02,L004,M002,涂装,颗粒点,2,低,已返修
D000024,2026-01-02,L004,M002,涂装,色差,4,低,已返修
D000025,2026-01-02,L005,M005,总装,线束松动,1,中,返修中
D000026,2026-01-02,L005,M006,总装,内饰装配偏差,1,低,返修中
D000027,2026-01-02,L006,M005,焊装,焊缝气孔,2,低,已返修
D000028,2026-01-02,L006,M005,焊装,焊点虚焊,3,低,已返修
D000029,2026-01-02,L007,M007,总装,内饰装配偏差,1,中,已返修
D000030,2026-01-02,L007,M008,总装,螺栓扭矩不足,4,低,已返修
D000031,2026-01-02,L008,M003,检测,密封性异常,3,中,已返修
D000032,2026-01-02,L008,M008,检测,密封性异常,1,低,已返修
D000033,2026-01-03,L001,M002,总装,内饰装配偏差,1,低,已返修
D000034,2026-01-03,L001,M002,总装,线束松动,2,低,已返修
D000035,2026-01-03,L002,M004,焊装,零件错位,2,低,已返修
D000036,2026-01-03,L002,M004,焊装,焊点虚焊,1,低,已返修
D000037,2026-01-03,L003,M004,总装,螺栓扭矩不足,2,中,已返修
D000038,2026-01-03,L003,M004,总装,螺栓扭矩不足,1,中,已返修
D000039,2026-01-03,L004,M002,涂装,色差,1,中,已返修
D000040,2026-01-03,L004,M001,涂装,色差,2,低,返修中
D000041,2026-01-03,L005,M006,总装,内饰装配偏差,3,低,返修中
D000042,2026-01-03,L005,M006,总装,线束松动,1,低,已返修
D000043,2026-01-03,L006,M005,焊装,零件错位,3,低,已返修
D000044,2026-01-03,L006,M006,焊装,零件错位,1,高,已返修
D000045,2026-01-03,L007,M007,总装,螺栓扭矩不足,1,低,已返修
D000046,2026-01-03,L007,M007,总装,内饰装配偏差,2,低,已返修
D000047,2026-01-03,L008,M005,检测,电控报警,2,中,返修中
D000048,2026-01-03,L008,M002,检测,电控报警,1,低,已返修
D000049,2026-01-04,L001,M002,总装,螺栓扭矩不足,1,低,已返修
D000050,2026-01-04,L001,M001,总装,内饰装配偏差,3,高,已返修
D000051,2026-01-04,L002,M004,焊装,焊点虚焊,3,低,已返修
D000052,2026-01-04,L002,M004,焊装,焊点虚焊,3,低,已返修
D000053,2026-01-04,L003,M003,总装,螺栓扭矩不足,3,中,已返修
D000054,2026-01-04,L003,M003,总装,内饰装配偏差,1,中,已返修
D000055,2026-01-04,L003,M003,总装,线束松动,2,中,已返修
D000056,2026-01-04,L004,M002,涂装,色差,1,中,返修中
D000057,2026-01-04,L004,M002,涂装,色差,3,中,已返修
D000058,2026-01-04,L005,M005,总装,螺栓扭矩不足,2,低,已返修
D000059,2026-01-04,L005,M006,总装,内饰装配偏差,1,中,已返修
D000060,2026-01-04,L006,M005,焊装,焊缝气孔,2,中,已返修
D000061,2026-01-04,L006,M005,焊装,零件错位,1,低,返修中
D000062,2026-01-04,L007,M008,总装,内饰装配偏差,1,低,已返修
D000063,2026-01-04,L007,M007,总装,螺栓扭矩不足,1,中,已返修
D000064,2026-01-04,L008,M003,检测,密封性异常,2,高,返修中
D000065,2026-01-04,L008,M006,检测,密封性异常,3,低,已返修
D000066,2026-01-05,L001,M002,总装,螺栓扭矩不足,3,中,已返修
D000067,2026-01-05,L001,M002,总装,螺栓扭矩不足,3,低,已返修
D000068,2026-01-05,L002,M003,焊装,焊缝气孔,4,中,已返修
D000069,2026-01-05,L002,M003,焊装,零件错位,3,低,返修中
D000070,2026-01-05,L003,M003,总装,线束松动,3,中,已返修
D000071,2026-01-05,L003,M003,总装,线束松动,2,低,已返修
D000072,2026-01-05,L004,M001,涂装,色差,2,高,已返修
D000073,2026-01-05,L004,M001,涂装,颗粒点,1,中,已返修
D000074,2026-01-05,L005,M006,总装,内饰装配偏差,2,低,已返修
D000075,2026-01-05,L005,M006,总装,内饰装配偏差,1,低,待确认
D000076,2026-01-05,L006,M006,焊装,焊点虚焊,1,低,已返修
D000077,2026-01-05,L006,M006,焊装,焊缝气孔,3,中,已返修
D000078,2026-01-05,L007,M007,总装,螺栓扭矩不足,1,低,已返修
D000079,2026-01-05,L007,M008,总装,螺栓扭矩不足,3,低,已返修
D000080,2026-01-05,L008,M006,检测,密封性异常,2,低,返修中
D000081,2026-01-05,L008,M004,检测,制动检测异常,3,低,已返修
D000082,2026-01-06,L001,M001,总装,线束松动,2,低,已返修
D000083,2026-01-06,L001,M002,总装,内饰装配偏差,2,低,已返修
D000084,2026-01-06,L002,M003,焊装,焊缝气孔,4,中,已返修
D000085,2026-01-06,L002,M004,焊装,零件错位,3,中,已返修
D000086,2026-01-06,L002,M004,焊装,焊点虚焊,1,中,已返修
D000087,2026-01-06,L003,M004,总装,内饰装配偏差,2,低,返修中
D000088,2026-01-06,L003,M003,总装,螺栓扭矩不足,1,高,已返修
D000089,2026-01-06,L004,M002,涂装,颗粒点,2,中,返修中
D000090,2026-01-06,L004,M002,涂装,色差,2,中,已返修
D000091,2026-01-06,L005,M005,总装,螺栓扭矩不足,2,低,已返修
D000092,2026-01-06,L005,M006,总装,内饰装配偏差,4,高,已返修
D000093,2026-01-06,L006,M005,焊装,焊缝气孔,2,低,返修中
D000094,2026-01-06,L006,M005,焊装,焊缝气孔,3,低,已返修
D000095,2026-01-06,L007,M008,总装,内饰装配偏差,1,低,已返修
D000096,2026-01-06,L007,M008,总装,线束松动,1,中,已返修
