question_id,question,related_tables,reference_answer
Q_PUB_001,2026年6月各车型的总产量是多少？按产量从高到低排序。,生产实绩表 + 车型维表,按 model_id 汇总 actual_quantity，筛选 2026-06。
Q_PUB_002,2026年6月哪个车型质量缺陷数量最多？,质量缺陷表 + 车型维表,M003 中卡C型应显著靠前。
Q_PUB_003,M003车型在2026年6月的主要缺陷集中在哪个工序和缺陷类型？,质量缺陷表,焊装工序、焊点虚焊。
Q_PUB_004,2026年6月10日至6月24日，哪条产线单车电耗异常升高？,能耗表 + 产线维表,L002 焊装一线。
Q_PUB_005,L003产线白班和夜班的平均达成率分别是多少？,生产实绩表,夜班应明显低于白班。
Q_PUB_006,客户C005在6月是否存在订单延期？主要涉及哪个车型？,订单表 + 车型维表,存在，主要涉及 M003 中卡C型。
Q_PUB_007,生成2026年6月运营日报，包含产量、质量、能耗和订单延期概览。,多表综合,应提及 M003 质量异常、L002能耗异常、C005延期。
Q_PUB_008,2026年4月8日至4月18日哪条产线停线时长偏高？,生产实绩表 + 产线维表,L005 总装三线。
Q_PUB_009,各车间2026年6月总电耗是多少？,能耗表,按 workshop 汇总 electricity_kwh。
Q_PUB_010,2026年上半年订单延期天数最高的前10个订单是哪些？,订单表,按 delay_days 降序。
