customer_id,customer_name,customer_type,region,priority_level
C001,客户001,经销商,华中,中
C002,客户002,经销商,华东,高
C003,客户003,经销商,华中,低
C004,客户004,大客户,华中,中
C005,客户005,大客户,华中,高
C006,客户006,经销商,华中,高
C007,客户007,经销商,华南,中
C008,客户008,物流企业,华南,低
C009,客户009,工程客户,西南,中
C010,客户010,大客户,西南,中
C011,客户011,政府/事业单位,华东,高
C012,客户012,物流企业,华东,中
C013,客户013,经销商,华北,中
C014,客户014,经销商,华北,高
C015,客户015,经销商,华东,高
C016,客户016,经销商,华中,高
C017,客户017,经销商,西南,中
C018,客户018,政府/事业单位,华东,高
C019,客户019,大客户,华北,高
C020,客户020,物流企业,西南,低
C021,客户021,物流企业,华中,中
C022,客户022,经销商,华北,中
C023,客户023,政府/事业单位,西北,低
C024,客户024,大客户,华北,高
C025,客户025,经销商,华东,中
C026,客户026,政府/事业单位,西北,低
C027,客户027,大客户,华东,低
C028,客户028,物流企业,华南,中
C029,客户029,工程客户,华北,中
C030,客户030,大客户,华北,高
C031,客户031,大客户,西北,中
C032,客户032,工程客户,华中,低
C033,客户033,工程客户,华中,中
C034,客户034,经销商,华南,中
C035,客户035,政府/事业单位,华中,低
C036,客户036,大客户,西北,中
C037,客户037,政府/事业单位,华东,中
C038,客户038,经销商,华东,中
C039,客户039,政府/事业单位,华北,中
C040,客户040,经销商,华南,中
C041,客户041,经销商,西北,低
C042,客户042,政府/事业单位,华东,低
C043,客户043,物流企业,西北,低
C044,客户044,工程客户,华北,低
C045,客户045,经销商,西北,高
C046,客户046,政府/事业单位,华中,中
C047,客户047,物流企业,西北,中
C048,客户048,政府/事业单位,华南,中
C049,客户049,大客户,华东,高
C050,客户050,工程客户,华东,中
C051,客户051,政府/事业单位,华南,中
C052,客户052,经销商,华东,中
C053,客户053,大客户,华南,高
C054,客户054,物流企业,西北,中
C055,客户055,物流企业,华北,低
C056,客户056,经销商,华南,高
C057,客户057,工程客户,西北,中
C058,客户058,政府/事业单位,西南,低
C059,客户059,物流企业,华北,高
C060,客户060,工程客户,西南,中
