energy_id,usage_date,workshop,line_id,model_id,shift,electricity_kwh,water_ton,gas_m3,energy_per_vehicle
E000001,2026-01-01,总装车间,L001,M002,白班,8253.9,17.9,63.9,107.19
E000002,2026-01-01,总装车间,L001,M002,夜班,8294.0,14.4,60.8,113.62
E000003,2026-01-01,焊装车间,L002,M004,白班,12384.3,17.2,45.8,156.76
E000004,2026-01-01,焊装车间,L002,M004,夜班,11279.6,19.8,49.4,150.39
E000005,2026-01-01,总装车间,L003,M004,白班,9318.6,16.2,49.7,143.36
E000006,2026-01-01,总装车间,L003,M004,夜班,9033.1,17.6,48.8,158.48
E000007,2026-01-01,涂装车间,L004,M002,白班,6803.7,13.4,45.4,117.31
E000008,2026-01-01,涂装车间,L004,M001,夜班,6547.9,14.0,59.5,114.88
E000009,2026-01-01,总装车间,L005,M006,白班,12589.5,10.0,25.3,279.77
E000010,2026-01-01,总装车间,L005,M006,夜班,14423.4,15.2,28.3,253.04
E000011,2026-01-01,焊装车间,L006,M006,白班,14568.7,10.7,40.3,291.37
E000012,2026-01-01,焊装车间,L006,M005,夜班,10411.2,12.0,55.0,231.36
E000013,2026-01-01,总装车间,L007,M008,白班,10597.2,9.6,31.5,216.27
E000014,2026-01-01,总装车间,L007,M008,夜班,10023.2,10.8,28.6,217.9
E000015,2026-01-01,检测车间,L008,M006,白班,17808.1,16.3,54.5,250.82
E000016,2026-01-01,检测车间,L008,M006,夜班,19592.8,18.3,54.1,254.45
E000017,2026-01-02,总装车间,L001,M002,白班,10089.4,23.9,63.5,120.11
E000018,2026-01-02,总装车间,L001,M001,夜班,9005.8,24.1,89.3,104.72
E000019,2026-01-02,焊装车间,L002,M004,白班,12274.8,21.8,53.9,149.69
E000020,2026-01-02,焊装车间,L002,M004,夜班,12403.0,25.3,54.1,151.26
E000021,2026-01-02,总装车间,L003,M004,白班,9283.3,12.7,51.7,154.72
E000022,2026-01-02,总装车间,L003,M003,夜班,8823.7,14.0,77.1,142.32
E000023,2026-01-02,涂装车间,L004,M002,白班,7708.3,18.1,35.2,116.79
E000024,2026-01-02,涂装车间,L004,M002,夜班,8818.2,21.0,33.0,131.61
E000025,2026-01-02,总装车间,L005,M005,白班,12876.5,15.3,66.6,238.45
E000026,2026-01-02,总装车间,L005,M006,夜班,13046.3,10.0,28.1,271.8
E000027,2026-01-02,焊装车间,L006,M005,白班,12994.9,13.4,55.9,232.05
E000028,2026-01-02,焊装车间,L006,M005,夜班,11397.4,12.9,43.1,247.77
E000029,2026-01-02,总装车间,L007,M007,白班,8606.5,11.5,44.9,200.15
E000030,2026-01-02,总装车间,L007,M008,夜班,11277.9,14.2,40.7,212.79
E000031,2026-01-02,检测车间,L008,M003,白班,9369.3,18.2,65.2,124.92
E000032,2026-01-02,检测车间,L008,M008,夜班,12748.9,10.8,53.5,205.63
E000033,2026-01-03,总装车间,L001,M002,白班,7092.0,21.2,39.5,104.29
E000034,2026-01-03,总装车间,L001,M002,夜班,9575.1,21.1,38.8,124.35
E000035,2026-01-03,焊装车间,L002,M004,白班,10917.4,15.0,39.3,151.63
E000036,2026-01-03,焊装车间,L002,M004,夜班,9054.5,15.4,29.5,161.69
E000037,2026-01-03,总装车间,L003,M004,白班,8022.2,15.2,32.2,145.86
E000038,2026-01-03,总装车间,L003,M004,夜班,10122.6,16.4,32.1,174.53
E000039,2026-01-03,涂装车间,L004,M002,白班,5840.4,10.2,35.4,119.19
E000040,2026-01-03,涂装车间,L004,M001,夜班,5885.6,12.0,56.9,108.99
E000041,2026-01-03,总装车间,L005,M006,白班,13437.2,14.3,24.1,274.23
E000042,2026-01-03,总装车间,L005,M006,夜班,13511.1,10.0,28.0,259.83
E000043,2026-01-03,焊装车间,L006,M005,白班,9857.2,12.0,38.3,229.24
E000044,2026-01-03,焊装车间,L006,M006,夜班,12201.9,12.5,32.1,265.26
E000045,2026-01-03,总装车间,L007,M007,白班,8119.9,11.6,46.4,193.33
E000046,2026-01-03,总装车间,L007,M007,夜班,7987.3,11.1,48.5,215.87
E000047,2026-01-03,检测车间,L008,M005,白班,12424.7,11.1,55.0,203.68
E000048,2026-01-03,检测车间,L008,M002,夜班,6964.8,12.5,53.7,108.83
E000049,2026-01-04,总装车间,L001,M002,白班,5851.4,9.3,42.9,117.03
E000050,2026-01-04,总装车间,L001,M001,夜班,5686.9,15.9,76.2,101.55
E000051,2026-01-04,焊装车间,L002,M004,白班,7503.3,14.2,33.3,150.07
E000052,2026-01-04,焊装车间,L002,M004,夜班,8275.0,13.1,37.6,172.4
E000053,2026-01-04,总装车间,L003,M003,白班,6764.9,11.3,70.3,143.93
E000054,2026-01-04,总装车间,L003,M003,夜班,7014.9,14.1,68.7,152.5
E000055,2026-01-04,涂装车间,L004,M002,白班,5484.5,14.2,28.9,130.58
E000056,2026-01-04,涂装车间,L004,M002,夜班,5863.1,10.1,24.8,127.46
E000057,2026-01-04,总装车间,L005,M005,白班,8239.5,9.6,44.8,211.27
E000058,2026-01-04,总装车间,L005,M006,夜班,9163.6,9.2,27.8,269.52
E000059,2026-01-04,焊装车间,L006,M005,白班,8832.5,8.7,46.1,252.36
E000060,2026-01-04,焊装车间,L006,M005,夜班,8652.5,11.1,37.5,247.21
E000061,2026-01-04,总装车间,L007,M008,白班,6486.1,8.1,16.5,216.2
E000062,2026-01-04,总装车间,L007,M007,夜班,6344.4,10.6,30.6,198.26
E000063,2026-01-04,检测车间,L008,M003,白班,7220.7,10.2,46.5,136.24
E000064,2026-01-04,检测车间,L008,M006,夜班,12598.0,13.7,27.1,237.7
E000065,2026-01-05,总装车间,L001,M002,白班,9909.3,23.5,45.3,110.1
E000066,2026-01-05,总装车间,L001,M002,夜班,10318.1,16.3,47.1,122.83
E000067,2026-01-05,焊装车间,L002,M003,白班,10338.4,23.0,66.2,147.69
E000068,2026-01-05,焊装车间,L002,M003,夜班,10114.4,17.1,101.6,148.74
E000069,2026-01-05,总装车间,L003,M003,白班,9423.7,21.5,83.5,136.58
E000070,2026-01-05,总装车间,L003,M003,夜班,8729.4,15.9,68.2,145.49
E000071,2026-01-05,涂装车间,L004,M001,白班,6099.1,12.8,63.4,115.08
E000072,2026-01-05,涂装车间,L004,M001,夜班,5850.0,11.9,77.3,114.71
E000073,2026-01-05,总装车间,L005,M006,白班,15181.6,13.6,42.3,276.03
E000074,2026-01-05,总装车间,L005,M006,夜班,11292.5,12.9,31.0,250.94
E000075,2026-01-05,焊装车间,L006,M006,白班,14732.2,18.8,44.9,258.46
E000076,2026-01-05,焊装车间,L006,M006,夜班,15395.7,17.6,39.7,290.48
E000077,2026-01-05,总装车间,L007,M007,白班,8931.3,9.5,42.4,207.7
E000078,2026-01-05,总装车间,L007,M008,夜班,10965.5,13.0,29.0,210.88
E000079,2026-01-05,检测车间,L008,M006,白班,17006.1,15.7,47.6,246.47
E000080,2026-01-05,检测车间,L008,M004,夜班,10984.9,18.5,43.7,146.47
E000081,2026-01-06,总装车间,L001,M001,白班,7754.1,23.5,119.7,95.73
E000082,2026-01-06,总装车间,L001,M002,夜班,9597.9,24.5,45.5,121.49
E000083,2026-01-06,焊装车间,L002,M003,白班,9374.3,14.9,91.2,133.92
E000084,2026-01-06,焊装车间,L002,M004,夜班,11486.3,20.8,39.1,161.78
E000085,2026-01-06,总装车间,L003,M004,白班,9482.1,15.4,32.4,152.94
E000086,2026-01-06,总装车间,L003,M003,夜班,8416.0,11.5,66.7,142.64
E000087,2026-01-06,涂装车间,L004,M002,白班,8938.6,14.1,48.5,133.41
E000088,2026-01-06,涂装车间,L004,M002,夜班,6934.6,18.8,43.3,128.42
E000089,2026-01-06,总装车间,L005,M005,白班,10592.6,12.5,63.5,225.37
E000090,2026-01-06,总装车间,L005,M006,夜班,16325.4,12.3,33.4,286.41
E000091,2026-01-06,焊装车间,L006,M005,白班,12761.2,10.8,75.2,240.78
E000092,2026-01-06,焊装车间,L006,M005,夜班,13735.7,17.0,75.0,236.82
E000093,2026-01-06,总装车间,L007,M008,白班,8847.8,8.4,27.2,215.8
E000094,2026-01-06,总装车间,L007,M008,夜班,10765.8,14.3,36.4,234.04
E000095,2026-01-06,检测车间,L008,M006,白班,16543.9,18.2,38.9,236.34
E000096,2026-01-06,检测车间,L008,M007,夜班,11616.2,12.5,68.7,165.95
E000097,2026-01-07,总装车间,L001,M001,白班,7392.4,18.2,91.3,102.67
E000098,2026-01-07,总装车间,L001,M001,夜班,9263.9,25.6,81.7,104.09
E000099,2026-01-07,焊装车间,L002,M003,白班,9963.3,22.4,81.6,144.4
E000100,2026-01-07,焊装车间,L002,M003,夜班,8871.5,16.0,102.9,132.41
E000101,2026-01-07,总装车间,L003,M003,白班,7684.3,12.1,90.1,128.07
E000102,2026-01-07,总装车间,L003,M004,夜班,9935.3,14.9,47.2,168.39
E000103,2026-01-07,涂装车间,L004,M002,白班,8544.4,19.3,41.0,127.53
E000104,2026-01-07,涂装车间,L004,M001,夜班,6795.8,13.6,53.1,111.41
E000105,2026-01-07,总装车间,L005,M005,白班,10919.9,12.1,67.3,227.5
E000106,2026-01-07,总装车间,L005,M006,夜班,11595.7,10.9,39.0,252.08
E000107,2026-01-07,焊装车间,L006,M005,白班,11479.7,12.8,71.9,216.6
E000108,2026-01-07,焊装车间,L006,M005,夜班,12434.2,16.9,54.0,226.08
E000109,2026-01-07,总装车间,L007,M008,白班,11857.7,13.3,40.9,237.15
E000110,2026-01-07,总装车间,L007,M007,夜班,9035.3,15.7,60.9,192.24
E000111,2026-01-07,检测车间,L008,M007,白班,11539.1,19.8,69.8,177.52
E000112,2026-01-07,检测车间,L008,M008,夜班,14882.9,20.4,41.5,203.88
E000113,2026-01-08,总装车间,L001,M002,白班,9195.3,25.6,71.9,110.79
E000114,2026-01-08,总装车间,L001,M001,夜班,8257.2,18.1,93.2,101.94
E000115,2026-01-08,焊装车间,L002,M003,白班,10457.9,13.9,111.3,143.26
E000116,2026-01-08,焊装车间,L002,M003,夜班,10051.7,23.7,97.9,139.61
E000117,2026-01-08,总装车间,L003,M004,白班,9373.4,15.1,47.5,151.18
E000118,2026-01-08,总装车间,L003,M004,夜班,9121.6,12.3,46.8,162.89
E000119,2026-01-08,涂装车间,L004,M002,白班,8120.2,22.3,51.7,124.93
E000120,2026-01-08,涂装车间,L004,M002,夜班,6804.6,18.2,41.8,128.39
E000121,2026-01-08,总装车间,L005,M005,白班,11552.7,13.0,74.4,222.17
E000122,2026-01-08,总装车间,L005,M006,夜班,12045.8,11.9,32.7,261.87
E000123,2026-01-08,焊装车间,L006,M006,白班,13333.0,14.9,31.1,272.1
E000124,2026-01-08,焊装车间,L006,M006,夜班,14337.6,11.2,27.0,281.13
E000125,2026-01-08,总装车间,L007,M008,白班,8947.9,9.4,23.1,208.09
E000126,2026-01-08,总装车间,L007,M008,夜班,11163.7,11.5,36.9,232.58
E000127,2026-01-08,检测车间,L008,M002,白班,7601.5,19.5,55.1,107.06
E000128,2026-01-08,检测车间,L008,M007,夜班,11014.1,17.4,57.6,186.68
E000129,2026-01-09,总装车间,L001,M001,白班,7261.4,14.6,89.1,93.09
E000130,2026-01-09,总装车间,L001,M002,夜班,9632.6,16.1,62.0,123.49
E000131,2026-01-09,焊装车间,L002,M004,白班,11473.0,26.1,61.0,147.09
E000132,2026-01-09,焊装车间,L002,M003,夜班,9065.7,21.7,74.1,137.36
E000133,2026-01-09,总装车间,L003,M003,白班,8732.5,13.8,56.4,138.61
E000134,2026-01-09,总装车间,L003,M004,夜班,9321.9,17.0,29.8,160.72
E000135,2026-01-09,涂装车间,L004,M002,白班,7057.3,12.5,43.6,130.69
E000136,2026-01-09,涂装车间,L004,M002,夜班,7156.0,18.4,38.6,119.27
E000137,2026-01-09,总装车间,L005,M005,白班,12811.5,12.5,52.1,237.25
E000138,2026-01-09,总装车间,L005,M005,夜班,11682.5,12.3,66.5,216.34
E000139,2026-01-09,焊装车间,L006,M006,白班,15248.2,15.7,33.6,282.37
E000140,2026-01-09,焊装车间,L006,M006,夜班,14544.0,11.9,24.5,290.88
E000141,2026-01-09,总装车间,L007,M008,白班,9800.4,11.4,36.6,217.79
E000142,2026-01-09,总装车间,L007,M008,夜班,10479.1,12.5,42.5,209.58
E000143,2026-01-09,检测车间,L008,M006,白班,19190.4,23.0,53.9,231.21
E000144,2026-01-09,检测车间,L008,M008,夜班,15430.4,13.7,54.5,203.03
