plan_id,production_date,line_id,model_id,shift,planned_quantity
P000001,2026-01-01,L001,M002,白班,85
P000002,2026-01-01,L001,M002,夜班,75
P000003,2026-01-01,L002,M004,白班,81
P000004,2026-01-01,L002,M004,夜班,78
P000005,2026-01-01,L003,M004,白班,66
P000006,2026-01-01,L003,M004,夜班,65
P000007,2026-01-01,L004,M002,白班,58
P000008,2026-01-01,L004,M001,夜班,56
P000009,2026-01-01,L005,M006,白班,48
P000010,2026-01-01,L005,M006,夜班,57
P000011,2026-01-01,L006,M006,白班,50
P000012,2026-01-01,L006,M005,夜班,47
P000013,2026-01-01,L007,M008,白班,48
P000014,2026-01-01,L007,M008,夜班,50
P000015,2026-01-01,L008,M006,白班,76
P000016,2026-01-01,L008,M006,夜班,82
P000017,2026-01-02,L001,M002,白班,86
P000018,2026-01-02,L001,M001,夜班,93
P000019,2026-01-02,L002,M004,白班,80
P000020,2026-01-02,L002,M004,夜班,80
P000021,2026-01-02,L003,M004,白班,61
P000022,2026-01-02,L003,M003,夜班,72
P000023,2026-01-02,L004,M002,白班,69
P000024,2026-01-02,L004,M002,夜班,67
P000025,2026-01-02,L005,M005,白班,55
P000026,2026-01-02,L005,M006,夜班,50
P000027,2026-01-02,L006,M005,白班,57
P000028,2026-01-02,L006,M005,夜班,47
P000029,2026-01-02,L007,M007,白班,43
P000030,2026-01-02,L007,M008,夜班,52
P000031,2026-01-02,L008,M003,白班,75
P000032,2026-01-02,L008,M008,夜班,67
P000033,2026-01-03,L001,M002,白班,73
P000034,2026-01-03,L001,M002,夜班,81
P000035,2026-01-03,L002,M004,白班,70
P000036,2026-01-03,L002,M004,夜班,61
P000037,2026-01-03,L003,M004,白班,58
P000038,2026-01-03,L003,M004,夜班,66
P000039,2026-01-03,L004,M002,白班,53
P000040,2026-01-03,L004,M001,夜班,55
P000041,2026-01-03,L005,M006,白班,53
P000042,2026-01-03,L005,M006,夜班,54
P000043,2026-01-03,L006,M005,白班,45
P000044,2026-01-03,L006,M006,夜班,49
P000045,2026-01-03,L007,M007,白班,45
P000046,2026-01-03,L007,M007,夜班,39
P000047,2026-01-03,L008,M005,白班,66
P000048,2026-01-03,L008,M002,夜班,67
P000049,2026-01-04,L001,M002,白班,54
P000050,2026-01-04,L001,M001,夜班,61
P000051,2026-01-04,L002,M004,白班,54
P000052,2026-01-04,L002,M004,夜班,47
P000053,2026-01-04,L003,M003,白班,48
P000054,2026-01-04,L003,M003,夜班,52
P000055,2026-01-04,L004,M002,白班,44
P000056,2026-01-04,L004,M002,夜班,49
P000057,2026-01-04,L005,M005,白班,39
P000058,2026-01-04,L005,M006,夜班,33
P000059,2026-01-04,L006,M005,白班,38
P000060,2026-01-04,L006,M005,夜班,34
P000061,2026-01-04,L007,M008,白班,31
P000062,2026-01-04,L007,M007,夜班,35
P000063,2026-01-04,L008,M003,白班,52
P000064,2026-01-04,L008,M006,夜班,53
P000065,2026-01-05,L001,M002,白班,89
P000066,2026-01-05,L001,M002,夜班,86
P000067,2026-01-05,L002,M003,白班,76
P000068,2026-01-05,L002,M003,夜班,70
P000069,2026-01-05,L003,M003,白班,72
P000070,2026-01-05,L003,M003,夜班,76
P000071,2026-01-05,L004,M001,白班,58
P000072,2026-01-05,L004,M001,夜班,56
P000073,2026-01-05,L005,M006,白班,59
P000074,2026-01-05,L005,M006,夜班,48
P000075,2026-01-05,L006,M006,白班,57
P000076,2026-01-05,L006,M006,夜班,58
P000077,2026-01-05,L007,M007,白班,42
P000078,2026-01-05,L007,M008,夜班,51
P000079,2026-01-05,L008,M006,白班,70
P000080,2026-01-05,L008,M004,夜班,82
P000081,2026-01-06,L001,M001,白班,83
P000082,2026-01-06,L001,M002,夜班,84
P000083,2026-01-06,L002,M003,白班,72
P000084,2026-01-06,L002,M004,夜班,70
P000085,2026-01-06,L003,M004,白班,66
P000086,2026-01-06,L003,M003,夜班,76
P000087,2026-01-06,L004,M002,白班,67
P000088,2026-01-06,L004,M002,夜班,57
P000089,2026-01-06,L005,M005,白班,49
P000090,2026-01-06,L005,M006,夜班,56
P000091,2026-01-06,L006,M005,白班,57
P000092,2026-01-06,L006,M005,夜班,57
P000093,2026-01-06,L007,M008,白班,42
P000094,2026-01-06,L007,M008,夜班,49
P000095,2026-01-06,L008,M006,白班,72
P000096,2026-01-06,L008,M007,夜班,69
P000097,2026-01-07,L001,M001,白班,79
P000098,2026-01-07,L001,M001,夜班,87
P000099,2026-01-07,L002,M003,白班,73
P000100,2026-01-07,L002,M003,夜班,73
P000101,2026-01-07,L003,M003,白班,63
P000102,2026-01-07,L003,M004,夜班,64
P000103,2026-01-07,L004,M002,白班,67
P000104,2026-01-07,L004,M001,夜班,62
P000105,2026-01-07,L005,M005,白班,48
P000106,2026-01-07,L005,M006,夜班,48
P000107,2026-01-07,L006,M005,白班,53
P000108,2026-01-07,L006,M005,夜班,57
P000109,2026-01-07,L007,M008,白班,50
P000110,2026-01-07,L007,M007,夜班,46
P000111,2026-01-07,L008,M007,白班,66
P000112,2026-01-07,L008,M008,夜班,76
P000113,2026-01-08,L001,M002,白班,83
P000114,2026-01-08,L001,M001,夜班,86
P000115,2026-01-08,L002,M003,白班,74
P000116,2026-01-08,L002,M003,夜班,72
P000117,2026-01-08,L003,M004,白班,62
P000118,2026-01-08,L003,M004,夜班,66
P000119,2026-01-08,L004,M002,白班,66
P000120,2026-01-08,L004,M002,夜班,58
P000121,2026-01-08,L005,M005,白班,51
P000122,2026-01-08,L005,M006,夜班,50
P000123,2026-01-08,L006,M006,白班,48
P000124,2026-01-08,L006,M006,夜班,50
